species,mode_index,w_harm_cm1,v_fund_cm1,delta_cm1,approx_intensity_km_mol,intensity_source,wavelength_nm
D2O-D2O-DX,0,92.484,83.593,-8.891,66.677,harmonic_IR_intensity,119627.24151543788
D2O-D2O-DX,1,101.703,88.172,-13.532,24.531,harmonic_IR_intensity,113414.68947058024
D2O-D2O-DX,2,111.927,97.049,-14.877,120.781,harmonic_IR_intensity,103040.73200136013
D2O-D2O-DX,3,164.4,136.587,-27.813,35.516,harmonic_IR_intensity,73213.40976813313
D2O-D2O-DX,4,259.301,223.275,-36.026,31.058,harmonic_IR_intensity,44787.817713581906
D2O-D2O-DX,5,434.052,373.145,-60.907,56.317,harmonic_IR_intensity,26799.2335419207
D2O-D2O-DX,6,1197.74,1173.951,-23.789,49.115,harmonic_IR_intensity,8518.243095325102
D2O-D2O-DX,7,1206.595,1180.178,-26.417,22.734,harmonic_IR_intensity,8473.298095710985
D2O-D2O-DX,8,2709.966,2639.982,-69.985,140.374,harmonic_IR_intensity,3787.9046145011594
D2O-D2O-DX,9,2771.431,2688.897,-82.534,8.635,harmonic_IR_intensity,3718.9970460006466
D2O-D2O-DX,10,2867.64,2770.56,-97.079,75.494,harmonic_IR_intensity,3609.3786093786093
D2O-D2O-DX,11,2889.096,2796.248,-92.847,49.583,harmonic_IR_intensity,3576.2207071761873
D2O-H2O-DX,0,107.75,95.731,-12.019,116.307,harmonic_IR_intensity,104459.3705278332
D2O-H2O-DX,1,128.32,116.598,-11.721,1.068,harmonic_IR_intensity,85764.76440419219
D2O-H2O-DX,2,134.688,116.529,-18.159,165.835,harmonic_IR_intensity,85815.5480609977
D2O-H2O-DX,3,165.971,138.981,-26.99,36.295,harmonic_IR_intensity,71952.28124707694
D2O-H2O-DX,4,290.71,239.289,-51.42,91.457,harmonic_IR_intensity,41790.470936816986
D2O-H2O-DX,5,465.543,395.855,-69.688,66.48,harmonic_IR_intensity,25261.775144939435
D2O-H2O-DX,6,1206.432,1180.869,-25.563,30.941,harmonic_IR_intensity,8468.339841252502
D2O-H2O-DX,7,1636.461,1591.828,-44.633,79.515,harmonic_IR_intensity,6282.085752983363
D2O-H2O-DX,8,2710.363,2645.434,-64.928,137.822,harmonic_IR_intensity,3780.0980859851347
D2O-H2O-DX,9,2867.577,2770.272,-97.304,77.009,harmonic_IR_intensity,3609.753843665893
D2O-H2O-DX,10,3844.734,3683.797,-160.937,15.618,harmonic_IR_intensity,2714.5904076690435
D2O-H2O-DX,11,3941.719,3772.022,-169.696,86.476,harmonic_IR_intensity,2651.098005260839
D2O-HDO-DD,0,97.275,80.382,-16.893,83.54,harmonic_IR_intensity,124405.96153367669
D2O-HDO-DD,1,108.277,84.895,-23.381,42.295,harmonic_IR_intensity,117792.56728900407
D2O-HDO-DD,2,131.43,109.016,-22.414,121.709,harmonic_IR_intensity,91729.65436266236
D2O-HDO-DD,3,165.391,137.701,-27.691,35.898,harmonic_IR_intensity,72621.11386264443
D2O-HDO-DD,4,274.345,234.035,-40.31,55.731,harmonic_IR_intensity,42728.65169739569
D2O-HDO-DD,5,448.895,383.014,-65.881,61.193,harmonic_IR_intensity,26108.70620917251
D2O-HDO-DD,6,1206.355,1180.045,-26.309,30.227,harmonic_IR_intensity,8474.253100517353
D2O-HDO-DD,7,1435.375,1398.654,-36.721,66.711,harmonic_IR_intensity,7149.731098613382
D2O-HDO-DD,8,2710.229,2642.847,-67.382,138.426,harmonic_IR_intensity,3783.7983053880907
D2O-HDO-DD,9,2828.438,2735.358,-93.08,26.493,harmonic_IR_intensity,3655.8285972073854
D2O-HDO-DD,10,2867.668,2768.192,-99.476,75.226,harmonic_IR_intensity,3612.466187316487
D2O-HDO-DD,11,3895.045,3724.345,-170.699,55.332,harmonic_IR_intensity,2685.0358922172895
D2O-HDO-DH,0,97.206,70.907,-26.299,83.017,harmonic_IR_intensity,141029.79959665478
D2O-HDO-DH,1,108.099,93.012,-15.087,43.188,harmonic_IR_intensity,107513.00907409796
D2O-HDO-DH,2,131.419,101.604,-29.815,121.448,harmonic_IR_intensity,98421.32199519704
D2O-HDO-DH,3,165.377,137.676,-27.702,35.778,harmonic_IR_intensity,72634.30082222029
D2O-HDO-DH,4,274.256,235.011,-39.244,55.734,harmonic_IR_intensity,42551.19973107642
D2O-HDO-DH,5,448.895,382.019,-66.876,61.228,harmonic_IR_intensity,26176.708488321263
D2O-HDO-DH,6,1206.342,1179.833,-26.51,30.224,harmonic_IR_intensity,8475.775808949233
D2O-HDO-DH,7,1435.359,1398.845,-36.514,66.716,harmonic_IR_intensity,7148.75486562128
D2O-HDO-DH,8,2710.235,2642.515,-67.72,138.412,harmonic_IR_intensity,3784.2736938106314
D2O-HDO-DH,9,2828.428,2731.888,-96.54,26.5,harmonic_IR_intensity,3660.4721716263625
D2O-HDO-DH,10,2867.653,2768.833,-98.82,75.236,harmonic_IR_intensity,3611.629881614384
D2O-HDO-DH,11,3895.019,3728.022,-166.997,55.33,harmonic_IR_intensity,2682.387603935814
D2O,0,1196.243,1168.655,-27.588,40.785,harmonic_IR_intensity,8556.8452622887
D2O,1,2775.884,2692.639,-83.245,4.542,harmonic_IR_intensity,3713.8287011366915
D2O,2,2895.688,2801.496,-94.192,39.377,harmonic_IR_intensity,3569.5214271232226
H2O-D2O-HX,0,100.133,83.051,-17.082,16.938,harmonic_IR_intensity,120407.94210786143
H2O-D2O-HX,1,118.443,99.518,-18.924,124.588,harmonic_IR_intensity,100484.33449225266
H2O-D2O-HX,2,123.931,106.038,-17.893,126.07,harmonic_IR_intensity,94305.81489654652
H2O-D2O-HX,3,174.543,145.898,-28.645,63.563,harmonic_IR_intensity,68541.03551796461
H2O-D2O-HX,4,328.88,288.823,-40.056,47.056,harmonic_IR_intensity,34623.28138687016
H2O-D2O-HX,5,581.192,475.156,-106.036,90.272,harmonic_IR_intensity,21045.719721523037
H2O-D2O-HX,6,1198.017,1177.096,-20.921,43.02,harmonic_IR_intensity,8495.48380081149
H2O-D2O-HX,7,1651.084,1602.481,-48.603,52.142,harmonic_IR_intensity,6240.32359822051
H2O-D2O-HX,8,2771.047,2688.308,-82.739,11.564,harmonic_IR_intensity,3719.811866795025
H2O-D2O-HX,9,2889.096,2798.322,-90.773,49.61,harmonic_IR_intensity,3573.5701609750413
H2O-D2O-HX,10,3746.739,3616.585,-130.154,295.948,harmonic_IR_intensity,2765.039394898779
H2O-D2O-HX,11,3924.543,3755.133,-169.411,92.164,harmonic_IR_intensity,2663.02152280625
H2O-H2O-HX,0,126.782,107.438,-19.344,117.931,harmonic_IR_intensity,93076.9373964519
H2O-H2O-HX,1,142.214,115.663,-26.551,51.291,harmonic_IR_intensity,86458.07215790702
H2O-H2O-HX,2,147.027,116.843,-30.184,142.491,harmonic_IR_intensity,85584.93020548942
H2O-H2O-HX,3,179.89,137.292,-42.598,145.902,harmonic_IR_intensity,72837.45593333917
H2O-H2O-HX,4,349.343,296.433,-52.91,53.104,harmonic_IR_intensity,33734.43577469445
H2O-H2O-HX,5,603.57,488.974,-114.596,100.538,harmonic_IR_intensity,20450.985123953422
H2O-H2O-HX,6,1635.553,1589.444,-46.11,94.032,harmonic_IR_intensity,6291.508225517854
H2O-H2O-HX,7,1652.134,1601.347,-50.788,39.761,harmonic_IR_intensity,6244.742707233348
H2O-H2O-HX,8,3746.125,3612.385,-133.74,302.897,harmonic_IR_intensity,2768.2542143210094
H2O-H2O-HX,9,3845.218,3684.172,-161.046,11.734,harmonic_IR_intensity,2714.314098255999
H2O-H2O-HX,10,3924.583,3742.15,-182.433,90.74,harmonic_IR_intensity,2672.2605988536
H2O-H2O-HX,11,3941.719,3768.454,-173.265,86.446,harmonic_IR_intensity,2653.608084376245
H2O-HDO-HD,0,106.642,100.465,-6.177,45.319,harmonic_IR_intensity,99537.15224207436
H2O-HDO-HD,1,128.386,105.758,-22.628,135.365,harmonic_IR_intensity,94555.49461979236
H2O-HDO-HD,2,142.592,121.272,-21.32,111.376,harmonic_IR_intensity,82459.26512302922
H2O-HDO-HD,3,177.285,159.068,-18.217,102.43,harmonic_IR_intensity,62866.19558930771
H2O-HDO-HD,4,338.887,294.142,-44.745,45.887,harmonic_IR_intensity,33997.18503307926
H2O-HDO-HD,5,591.234,484.309,-106.925,93.437,harmonic_IR_intensity,20647.97474339729
H2O-HDO-HD,6,1435.32,1400.272,-35.048,68.191,harmonic_IR_intensity,7141.469657323721
H2O-HDO-HD,7,1651.223,1601.779,-49.444,52.32,harmonic_IR_intensity,6243.058499331057
H2O-HDO-HD,8,2828.339,2738.939,-89.4,26.396,harmonic_IR_intensity,3651.0488185388576
H2O-HDO-HD,9,3746.563,3631.815,-114.748,298.477,harmonic_IR_intensity,2753.4442145318526
H2O-HDO-HD,10,3895.138,3725.448,-169.69,55.48,harmonic_IR_intensity,2684.240928876205
H2O-HDO-HD,11,3924.605,3774.732,-149.873,90.203,harmonic_IR_intensity,2649.194697795764
H2O-HDO-HH,0,106.626,93.08,-13.546,45.565,harmonic_IR_intensity,107434.46497636443
H2O-HDO-HH,1,128.247,118.682,-9.565,136.117,harmonic_IR_intensity,84258.77555147368
H2O-HDO-HH,2,142.733,110.708,-32.024,110.404,harmonic_IR_intensity,90327.70892799075
H2O-HDO-HH,3,177.267,158.989,-18.279,102.394,harmonic_IR_intensity,62897.433155752915
H2O-HDO-HH,4,338.76,296.01,-42.749,45.881,harmonic_IR_intensity,33782.642478294656
H2O-HDO-HH,5,591.291,481.252,-110.039,93.463,harmonic_IR_intensity,20779.134424376418
H2O-HDO-HH,6,1435.342,1398.518,-36.824,68.194,harmonic_IR_intensity,7150.426379925035
H2O-HDO-HH,7,1651.186,1602.661,-48.524,52.324,harmonic_IR_intensity,6239.622727451407
H2O-HDO-HH,8,2828.376,2733.688,-94.689,26.396,harmonic_IR_intensity,3658.061929525242
H2O-HDO-HH,9,3746.545,3630.392,-116.153,298.486,harmonic_IR_intensity,2754.5234784563213
H2O-HDO-HH,10,3895.115,3730.548,-164.566,55.472,harmonic_IR_intensity,2680.5713262501918
H2O-HDO-HH,11,3924.593,3775.22,-149.373,90.206,harmonic_IR_intensity,2648.8522523190704
H2O,0,1634.3,1582.315,-51.985,76.653,harmonic_IR_intensity,6319.854137766501
H2O,1,3851.087,3690.106,-160.982,5.809,harmonic_IR_intensity,2709.949253490279
H2O,2,3951.143,3777.534,-173.608,65.819,harmonic_IR_intensity,2647.229647701384
HDO-D2O-DX,0,97.047,84.762,-12.285,12.302,harmonic_IR_intensity,117977.39553101626
HDO-D2O-DX,1,114.652,34.056,-80.596,119.953,harmonic_IR_intensity,293634.01456424716
HDO-D2O-DX,2,123.09,108.21,-14.88,129.884,harmonic_IR_intensity,92412.9008409574
HDO-D2O-DX,3,170.806,76.256,-94.55,54.42,harmonic_IR_intensity,131137.2219890894
HDO-D2O-DX,4,285.105,118.309,-166.796,32.389,harmonic_IR_intensity,84524.42333212182
HDO-D2O-DX,5,434.073,392.964,-41.109,55.438,harmonic_IR_intensity,25447.62370089881
HDO-D2O-DX,6,1198.015,1175.301,-22.715,42.959,harmonic_IR_intensity,8508.4586842009
HDO-D2O-DX,7,1423.262,1392.38,-30.881,48.342,harmonic_IR_intensity,7181.947456872405
HDO-D2O-DX,8,2732.031,2661.069,-70.962,191.953,harmonic_IR_intensity,3757.8882772299403
HDO-D2O-DX,9,2771.836,2690.071,-81.765,5.335,harmonic_IR_intensity,3717.3740023962196
HDO-D2O-DX,10,2889.096,2798.716,-90.38,49.589,harmonic_IR_intensity,3573.067077902867
HDO-D2O-DX,11,3913.116,3734.589,-178.528,35.819,harmonic_IR_intensity,2677.6708226795504
HDO-D2O-HX,0,92.88,81.062,-11.818,74.478,harmonic_IR_intensity,123362.36460980485
HDO-D2O-HX,1,105.354,84.308,-21.046,17.331,harmonic_IR_intensity,118612.70579304454
HDO-D2O-HX,2,116.041,80.882,-35.159,127.564,harmonic_IR_intensity,123636.90314285007
HDO-D2O-HX,3,167.958,125.022,-42.936,45.066,harmonic_IR_intensity,79985.92247764394
HDO-D2O-HX,4,283.286,214.466,-68.82,28.358,harmonic_IR_intensity,46627.43744929266
HDO-D2O-HX,5,581.149,473.931,-107.217,91.378,harmonic_IR_intensity,21100.11794965934
HDO-D2O-HX,6,1198.024,1175.89,-22.134,43.513,harmonic_IR_intensity,8504.196821131227
HDO-D2O-HX,7,1473.835,1426.287,-47.548,46.756,harmonic_IR_intensity,7011.211628515159
HDO-D2O-HX,8,2771.051,2687.969,-83.082,11.478,harmonic_IR_intensity,3720.281000264512
HDO-D2O-HX,9,2841.984,2747.961,-94.023,11.73,harmonic_IR_intensity,3639.061835302612
HDO-D2O-HX,10,2889.096,2795.666,-93.43,49.604,harmonic_IR_intensity,3576.965202567116
HDO-D2O-HX,11,3761.524,3623.906,-137.618,368.088,harmonic_IR_intensity,2759.4534736828164
HDO-H2O-DX,0,123.695,96.968,-26.726,66.666,harmonic_IR_intensity,103126.80471908257
HDO-H2O-DX,1,135.949,118.3,-17.649,101.444,harmonic_IR_intensity,84530.85376162299
HDO-H2O-DX,2,140.084,87.063,-53.02,152.336,harmonic_IR_intensity,114859.35472014517
HDO-H2O-DX,3,173.728,117.739,-55.989,92.203,harmonic_IR_intensity,84933.62437255285
HDO-H2O-DX,4,312.085,202.595,-109.489,68.562,harmonic_IR_intensity,49359.559712727365
HDO-H2O-DX,5,465.521,421.508,-44.013,65.912,harmonic_IR_intensity,23724.3421239929
HDO-H2O-DX,6,1423.295,1390.64,-32.655,50.208,harmonic_IR_intensity,7190.93367082782
HDO-H2O-DX,7,1636.514,1588.921,-47.592,79.538,harmonic_IR_intensity,6293.579101792978
HDO-H2O-DX,8,2732.754,2664.732,-68.022,187.486,harmonic_IR_intensity,3752.722600246479
HDO-H2O-DX,9,3844.741,3683.614,-161.128,15.918,harmonic_IR_intensity,2714.7252670882453
HDO-H2O-DX,10,3913.107,3740.56,-172.547,35.577,harmonic_IR_intensity,2673.396496781231
HDO-H2O-DX,11,3941.719,3767.456,-174.263,86.491,harmonic_IR_intensity,2654.3110257956564
HDO-H2O-HX,0,107.75,95.165,-12.585,116.275,harmonic_IR_intensity,105080.64939841327
HDO-H2O-HX,1,137.801,123.225,-14.576,1.857,harmonic_IR_intensity,81152.36356258877
HDO-H2O-HX,2,142.864,110.634,-32.23,174.01,harmonic_IR_intensity,90388.12661568777
HDO-H2O-HX,3,169.942,133.586,-36.356,67.332,harmonic_IR_intensity,74858.1438174659
