species,band_type,mode_index,mode1,mode2,frequency_cm1,wavelength_nm,intensity_km_mol,source
D2O-D2O-DX,fundamental,0.0,0,,83.593,119627.24151543788,66.677,GVPT2_fundamental
D2O-D2O-DX,fundamental,1.0,1,,88.172,113414.68947058024,24.531,GVPT2_fundamental
D2O-D2O-DX,fundamental,2.0,2,,97.049,103040.73200136013,120.781,GVPT2_fundamental
D2O-D2O-DX,fundamental,3.0,3,,136.587,73213.40976813313,35.516,GVPT2_fundamental
D2O-D2O-DX,fundamental,4.0,4,,223.275,44787.817713581906,31.058,GVPT2_fundamental
D2O-D2O-DX,fundamental,5.0,5,,373.145,26799.2335419207,56.317,GVPT2_fundamental
D2O-D2O-DX,fundamental,6.0,6,,1173.951,8518.243095325102,49.115,GVPT2_fundamental
D2O-D2O-DX,fundamental,7.0,7,,1180.178,8473.298095710985,22.734,GVPT2_fundamental
D2O-D2O-DX,fundamental,8.0,8,,2639.982,3787.9046145011594,140.374,GVPT2_fundamental
D2O-D2O-DX,fundamental,9.0,9,,2688.897,3718.9970460006466,8.635,GVPT2_fundamental
D2O-D2O-DX,fundamental,10.0,10,,2770.56,3609.3786093786093,75.494,GVPT2_fundamental
D2O-D2O-DX,fundamental,11.0,11,,2796.248,3576.2207071761873,49.583,GVPT2_fundamental
D2O-H2O-DX,fundamental,0.0,0,,95.731,104459.3705278332,116.307,GVPT2_fundamental
D2O-H2O-DX,fundamental,1.0,1,,116.598,85764.76440419219,1.068,GVPT2_fundamental
D2O-H2O-DX,fundamental,2.0,2,,116.529,85815.5480609977,165.835,GVPT2_fundamental
D2O-H2O-DX,fundamental,3.0,3,,138.981,71952.28124707694,36.295,GVPT2_fundamental
D2O-H2O-DX,fundamental,4.0,4,,239.289,41790.470936816986,91.457,GVPT2_fundamental
D2O-H2O-DX,fundamental,5.0,5,,395.855,25261.775144939435,66.48,GVPT2_fundamental
D2O-H2O-DX,fundamental,6.0,6,,1180.869,8468.339841252502,30.941,GVPT2_fundamental
D2O-H2O-DX,fundamental,7.0,7,,1591.828,6282.085752983363,79.515,GVPT2_fundamental
D2O-H2O-DX,fundamental,8.0,8,,2645.434,3780.0980859851347,137.822,GVPT2_fundamental
D2O-H2O-DX,fundamental,9.0,9,,2770.272,3609.753843665893,77.009,GVPT2_fundamental
D2O-H2O-DX,fundamental,10.0,10,,3683.797,2714.5904076690435,15.618,GVPT2_fundamental
