species,mode1,mode2,same_mode,frequency_cm1,wavelength_nm,intensity_km_mol,eps_L_per_mol_cm,t2_au,tx,ty,tz
D2O-D2O-DX,0,0,True,158.79,62976.257950752566,3.94,0.00078,0.001534,0.038989,0.000111,0.003675
D2O-D2O-DX,0,1,False,167.9,59559.26146515783,0.55,0.000108,0.000201,-0.007056,-8.7e-05,-0.012306
D2O-D2O-DX,0,2,False,182.66,54746.52359575167,0.01,2e-06,3e-06,6e-05,-0.001842,-4e-05
D2O-D2O-DX,0,3,False,215.57,46388.64405993413,0.06,1.3e-05,1.8e-05,-2e-06,-0.004279,2.3e-05
D2O-D2O-DX,0,4,False,328.19,30470.154483683233,1.3,0.000257,0.000245,-3.9e-05,-0.015638,5.7e-05
D2O-D2O-DX,0,5,False,433.66,23059.539731586956,0.39,7.7e-05,5.6e-05,0.001797,-3e-05,-0.007246
D2O-D2O-DX,0,6,False,1257.52,7952.159806603474,0.33,6.5e-05,1.6e-05,-1.5e-05,-0.004018,2.2e-05
D2O-D2O-DX,0,7,False,1267.39,7890.231104869061,0.02,4e-06,1e-06,7e-06,-0.000936,0.0
D2O-D2O-DX,0,8,False,2726.54,3667.6520425154226,0.06,1.2e-05,1e-06,7e-06,-0.001155,1e-06
D2O-D2O-DX,0,9,False,2772.19,3607.256356887515,0.35,7e-05,8e-06,1e-06,0.002805,-6e-06
D2O-D2O-DX,0,10,False,2854.48,3503.2650430200947,0.04,7e-06,1e-06,-4e-06,-0.000904,7e-06
D2O-D2O-DX,0,11,False,2880.48,3471.643614953063,0.28,5.6e-05,6e-06,0.00227,-1.8e-05,-0.000966
D2O-D2O-DX,1,1,True,170.27,58730.251952780876,0.51,0.000102,0.000187,-0.01366,-8e-06,-0.00018
D2O-D2O-DX,1,2,False,182.72,54728.54640980736,0.06,1.2e-05,2e-05,-3.4e-05,-0.004474,9e-06
D2O-D2O-DX,1,3,False,221.49,45148.76518127229,0.0,0.0,0.0,3.5e-05,-0.000492,-0.0
D2O-D2O-DX,1,4,False,302.6,33046.92663582286,0.18,3.5e-05,3.6e-05,-1.9e-05,-0.006003,3.1e-05
D2O-D2O-DX,1,5,False,459.91,21743.38457524298,0.05,1e-05,7e-06,-0.002066,1.5e-05,-0.001599
D2O-D2O-DX,1,6,False,1262.47,7920.980300521993,0.0,0.0,0.0,-1.8e-05,0.000347,8e-06
D2O-D2O-DX,1,7,False,1268.48,7883.451059535822,0.17,3.4e-05,8e-06,-1.2e-05,0.002904,-4e-06
D2O-D2O-DX,1,8,False,2733.85,3657.845163414233,0.02,5e-06,1e-06,7e-06,-0.00072,-2e-06
D2O-D2O-DX,1,9,False,2775.79,3602.5780048202496,0.03,5e-06,1e-06,3e-06,-0.000767,6e-06
D2O-D2O-DX,1,10,False,2859.21,3497.469580758321,0.09,1.9e-05,2e-06,-6e-06,-0.001423,7e-06
D2O-D2O-DX,1,11,False,2884.01,3467.3943571624227,0.13,2.5e-05,3e-06,0.001338,4e-06,-0.000966
D2O-D2O-DX,2,2,True,184.69,54144.783150143485,1.56,0.000309,0.000521,-0.022038,4.1e-05,-0.005981
D2O-D2O-DX,2,3,False,230.2,43440.48653344918,0.65,0.000128,0.000173,0.013059,-5e-06,0.001643
D2O-D2O-DX,2,4,False,314.02,31845.1054072989,1.97,0.000389,0.000387,-0.018225,3.1e-05,0.007404
D2O-D2O-DX,2,5,False,459.11,21781.272461937227,0.52,0.000103,7e-05,2.1e-05,0.00837,-1.6e-05
D2O-D2O-DX,2,6,False,1273.74,7850.895787209321,0.38,7.5e-05,1.8e-05,0.004158,-2e-06,-0.000987
D2O-D2O-DX,2,7,False,1275.73,7838.649243962281,0.02,5e-06,1e-06,0.000981,4e-06,-0.000391
D2O-D2O-DX,2,8,False,2744.68,3643.411982453328,0.33,6.4e-05,7e-06,0.00212,-0.0,-0.001682
D2O-D2O-DX,2,9,False,2786.42,3588.8344183576055,0.11,2.2e-05,3e-06,0.000667,-1e-06,0.001437
D2O-D2O-DX,2,10,False,2869.06,3485.4621374248013,0.04,7e-06,1e-06,-0.000742,2e-06,0.000452
D2O-D2O-DX,2,11,False,2892.84,3456.8106082603945,0.05,1e-05,1e-06,2e-05,-0.001034,-4e-06
